Organisation,Titel,Datum,Location,Description,Link
Munich Startup,Munich Hacking Legal,26. April : 10:00 Uhr - 27. April : 16:00 Uhr,"Arccisstraße 21, 80333 München Bayern","Munich Hacking Legal is where law meets tech! Hosted by START Munich, the Liquid Legal Institute and LegalTech Colab, this hackathon invites students and professionals from law, tech, and related fields to tackle real challenges in Legal Tech.
You’ll work in mixed teams, collaborate with experts, and create cutting-edge solutions. It’s your chance to network, learn, and shape the future of law through innovation. Whether you’re into law, tech, or both, Munich Hacking Legal wants YOU!
Join us to make real impact and transform the legal world with technology!
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/munich-hacking-legal/
Munich Startup,BarCamp: Edge AI and Smart Sensing,29. April,"Hansastr. 27d, 80686 München","Wir laden alle Interessierten herzlich zu unserem BarCamp zum Thema Edge AI und Smart Sensing ein. Organisiert wird die Veranstaltung von der Strategischen Partnerschaft Sensorik e.V., unterstützt vom Bayerischen Chip-Design-Center sowie der Strategischen Initiative Neuromorphes Computing des Fraunhofer IIS.
Das Thema Edge AI und Smart Sensing ist bewusst weit gewählt, um ein breites Publikum anzusprechen. Die Pitches können sowohl Hardware als auch Software oder eingebettete AI-Modelle umfassen. Themen wie neuromorphes Computing, RISC-V, heterogene Integration, AI-Frameworks, federated Learning, Quantisierung von Modellen und ähnliche sind herzlich willkommen. Bringt Eure Ideen, Fragen und Erfahrungen mit und gestaltet gemeinsam mit uns einen inspirierenden Austausch. Wir freuen uns auf spannende Sessions und interessante Diskussionen!
Ein Barcamp, auch Unkonferenz genannt, ist eine offene Veranstaltung, bei der die Teilnehmenden zu Beginn selbst die Themen und den Ablauf festlegen. Diese informellen Workshops fördern Interaktion und kreative Lösungsansätze.
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/barcamp-edge-ai-and-smart-sensing/
Munich Startup,Founders‘ regulars‘ table: Food & Agtech,29. April,"Maximus-von-Imhof-Forum 2, 85354 Freising","Throughout the year 2025, the TUM Venture Lab FAB is organising a regulars‘ table for agri-food startups from Munich and the surrounding area and anyone who would like to get in touch with them.
Whether you are a founder, aspiring founder or just interested, everyone is welcome to join our informal dialogue. Stop by, have a cold drink and connect with Munich’s agri-food ecosystem!
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/founders-regulars-table-food-agtech-0425/
Munich Startup,gate-Academy: Pitch Perfect – Die Geheimnisse erfolgreicher Investorengespräche,8. Mai,"Lichtenbergstraße 8, 85748 Garching bei München","gate-Academy „Pitch Perfect – Die Geheimnisse erfolgreicher Investorengespräche“ mit Dr. Bernhard Schmid
Du bist Tech-Founder und willst Investoren überzeugen? In diesem live-Workshop erfährst du, was Investoren wirklich von Startups erwarten und welche Fragen sie dir stellen, bevor sie investieren. Sei gespannt auf praxisnahe Einblicke, die dir helfen, dein Startup auf das nächste Level zu heben. Über Do’s und Dont’s aus der Praxis berichtet Dr. Bernhard Schmid.
Inhalte, die dich erwarten:
Bist du bereit, dein Pitch-Deck und Business-Plan so zu gestalten, dass sie Investoren begeistern?
Wie findest du die perfekte Unternehmensbewertung, die nicht nur realistisch, sondern auch überzeugend ist?
Kannst du komplexe Prozesse so erklären, dass selbst Investoren ohne Technik-Hintergrund sofort verstehen, warum dein Startup revolutionär ist?
Wie baust du mit einem durchdachten „Beweismanagement“ Vertrauen auf und zeigst, dass du das Potenzial hast, groß zu werden?
Dr. Bernhard Schmid, CEO bei Global Value Management, ist seit über 25 Jahren als Unternehmer und Manager bei Consulting-/High-Tech-Unternehmen aktiv. In dieser Eigenschaft hat er mehr als 30 Corporate Finance Transaktionen erfolgreich begleitet – von Wachstums-Finanzierungen, Mergers & Acquisitions, Nachfolgeregelungen bis hin zu IPOs.
Nach dem Workshop bleibt bei einem gemeinsamen Mittagessen genug Zeit für`s Netzwerken. Melde dich jetzt über Eventbrite an und sichere dir deinen Platz. Wir freuen uns auf dich!
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/gate-academy-pitch-perfect-die-geheimnisse-erfolgreicher-investorengespraeche/
Munich Startup,Online: IP im Fokus – Wirksamer Marken- und Designschutz,8. Mai,,"BIHK-Webinar: IP im Fokus – Wirksamer Marken- und Designschutz
So schützt Ihr Brands und Business mit EU-Unterstützung
Erfahrt, wie Ihr Eure Marken, Designs, Domains und Firmennamen effektiv schützen und dabei von EU-Förderprogrammen profitieren könnt. Das BIHK-Webinar bietet eine Einführung in die wichtigsten Aspekte des geistigen Eigentums sowie detaillierte Informationen zum EUIPO-Förderprogramm „Ideas Powered for Business“, das speziell für kleine und mittlere Unternehmen (KMU) konzipiert wurde.
Meldet Euch jetzt kostenfrei an und sichert Euch wertvolle Einblicke sowie praktische Unterstützung beim Schutz Eurer geistigen Eigentumsrechte!
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/online-ip-im-fokus-wirksamer-marken-und-designschutz/
Munich Startup,WERKSACADEMY – Workshops & Training: Sales,8. Mai,"Am Kartoffelgarten 14, 81671 München","Die erste WERKSACADEMY im WERK1 dieses Jahr dreht sich um das stets brandaktuelle Thema Sales.
Workshop-Inhalte:
Sales-Techniken: Erfahre, wie du effektive Verkaufsgespräche führen und potenzielle Kund*innen überzeugen kannst.
Zielgruppenanalyse: Lerne, deine Zielgruppe zu identifizieren und maßgeschneiderte Angebote zu entwickeln.
Pitch-Training: Übe, deinen Pitch zu perfektionieren, um Investoren und Kund*innen gleichermaßen zu begeistern.
Verhandlungsstrategien: Entdecke, wie du erfolgreich verhandeln und Win-Win-Situationen schaffen kannst.
Kundenbeziehungen: Erfahre, wie du langfristige Beziehungen zu deinen Kunden aufbauen und pflegen kannst
Zielgruppe:
Dieser Workshop richtet sich an Gründer*innen, Unternehmer*innen und Teams, die ihre Sales-Techniken verbessern und ihr Startup auf das nächste Level bringen möchten.
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/werksacademy-workshops-training-sales/
Munich Startup,Unternehmer:innen live erleben: Bonita Grupp von TRIGEMA,8. Mai,"Heßstraße 89, 80797 München","Unternehmer:innen live erleben: Bonita Grupp von TRIGEMA – Fashion Meets KI
Bonita Grupp zu Gast bei Unternehmer:innen live erleben. Erfahre wie eine innovative Unternehmerin und künstliche Intelligenz die Familiennachfolge bei TRIGEMA prägen. Und natürlich kommt auch der berühmte Affe Charly 2.0 nicht zu kurz. Anschließend beantwortet Bonita Eure Zuschauerfragen!
Bonita Grupp berichtet über ihren Werdegang und ihre Rolle als Geschäftsführerin bei TRIGEMA.
Wir vom SCE freuen uns auf einen spannenden Unternehmer:innen-Abend und laden Euch alle herzlich ein!
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/unternehmerinnen-live-erleben-bonita-grupp-trigema/
Munich Startup,AI Music Summit 2025,12. Mai,"Atelierstraße 1, 81671 München","Der AI Music Summit ist ein exklusives Startup-Event der GEMA in Kooperation mit WISE – und zugleich der Auftakt zur GEMA-Mitgliederversammlung 2025.
Hier treffen sich nicht nur GEMA-Mitglieder, sondern auch Musikschaffende, Tech-Expert:innen, Startups und weitere Akteur:innen aus dem Music-Tech-Ökosystem. Gemeinsam diskutieren wir, wie Künstliche Intelligenz (KI) die Musikbranche verändert – mit Fokus auf technologische Chancen, Innovationen und einem verantwortungsvollen Umgang mit dieser Technologie.
Im Zentrum stehen die Fragen:
Wie kann KI zum kreativen Partner werden – statt zum Ersatz?
Wie sieht die nächste Generation an KI-Tools für Musikschaffende aus?
Was bedeutet Urheberschaft, wenn Maschinen komponieren?
Wie schützen wir geistiges Eigentum im KI-Zeitalter?
Ob du Musik machst, Technologie entwickelst oder zwischen beiden Welten lebst – dieser Summit bietet dir neue Perspektiven, wertvolle Kontakte und konkrete Impulse.
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/ai-music-summit-2025/
Munich Startup,Munich Impact Co-Founder Matching,12. Mai,"Gotzinger Straße 8, 81371 München","Find Your Perfect Match at the Munich Impact Co-Founder Matching!
Are you ready to turn your passion for impact entrepreneurship into reality? Do you have an innovative idea for ecological or social change but need the right partner to bring it to life? Or are you eager to join a purpose-driven startup but haven’t found the right opportunity yet? Then this is your event!
Who Should Attend? This event is designed for:
Visionary founders having an idea they want to bring to life searching for co-founders with complementary skills
Talented individuals looking to join someone with a high-impact startup idea
Changemakers passionate about building a better future through entrepreneurship
What to Expect: 
High-energy networking with purpose-driven entrepreneurs.
Structured matching to find the perfect co-founder fit.
A unique opportunity to spark new ideas, forge strong partnerships, and take the next step in your impact journey.
This is where passion meets potential—where ideas transform into action. Secure your spot today and get ready to find the co-founder who will help shape the future with you!
This time, the event will take place at Impact Hub Munich – a truly fitting location for the matching format. During the week of the matching event, from Monday, May 12 to Friday, May 16, Impact Hub will also be hosting the Open Hub Week. Check out the exciting program here.
Due to space limitations, an RSVP is absolutely necessary. There will be more spots available than initially opened. After the initial spots are taken participants will be admited based on the responses to the question. So joining the waitlist definitely makes sense! If you do not make the guestlist this time, stay tuned for the next event in June.
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/munich-impact-co-founder-matching-0525/
Munich Startup,Unternehmen und Stadtverwaltung für mehr grüne Freiräume in der Stadt,13. Mai,"Freddie-Mercury-Straße 5, 80797 München","Arbeitet Ihr in einem Unternehmen in oder um München, das…
… Freiraumplanung und -gestaltung neu denkt?
… innovative technische und gebaute Produkte für mehr Grün in der Stadt anbietet? Tragt Ihr somit zur Klimaanpassung und mehr Artenvielfalt bei oder entwickeln inklusivere Freiräume?
… Beteiligungsprozesse und -formate für gerechtere Freiräume umsetzt?
… digitale Tools für die Analyse, Planung und Visualisierung entwickelt?
… die Bedeutung von Stadtnatur, Grün- und Freiräumen kreativ an verschiedene Zielgruppen vermittelt und kommuniziert?
Worum geht es bei der Veranstaltung?
Welche innovativen Konzepte, Produkte und Dienstleistungen bieten Unternehmen aus München und der Umgebung an, um Städte zu begrünen? Vor welchen Herausforderungen in der Freiraumentwicklung sieht sich die Landeshauptstadt München und welche Bedarfe hat sie? Im Rahmen des EU-Projekts JUSTNature laden das Referat für Stadtplanung und Bauordnung zusammen mit dem Referat für Arbeit und Wirtschaft, der Münchner Wirtschaftsförderung sowie Munich Business Unternehmen ein, die Produkte und Dienstleistungen rund um Stadtnatur und -begrünung anbieten und städtische Freiräume gestalten.
Was erwartet Euch als Teilnehmer*in?
Wir planen Pitches von Unternehmen, Beispiele erfolgreicher Zusammenarbeit der Verwaltung mit Unternehmen, Diskussionen verschiedener Akteur*innen und thematische Sessions sowie Zeit und Raum zum Netzwerken. Mitarbeiter*innen der Stadtverwaltung aus verschiedenen Referaten und Unternehmer*innen teilen Einblicke und Erfahrungen, diskutieren und lernen sich kennen, um:
• das Angebot von lokalen und regionalen Unternehmen ebenso wie die Unterstützungsbedarfe dieser sichtbarer zu machen.
• Unternehmen untereinander als auch mit der Landeshauptstadt München zu vernetzen, um zukünftig noch passendere Lösungen für Münchens Grün- und Freiräume zu finden.
• mehr Bewusstsein zu schaffen für Unterstützungsangebote der Landeshauptstadt für Start-ups und KMUs.
• Herausforderungen und...",https://www.munich-startup.de/veranstaltung/unternehmen-und-stadtverwaltung-fuer-mehr-gruene-freiraeume-in-der-stadt/
Munich Startup,3. City Demo Day – Künstliche Intelligenz,15. Mai,"Freddie-Mercury-Straße 5, 80797 München","Wie können Startups und die Stadtverwaltung gemeinsam Innovationen vorantreiben? Die ideale Plattform, um diese Frage zu beleuchten, bietet der „City Demo Day“, initiiert vom Referat für Arbeit und Wirtschaft der Landeshauptstadt München.
Diese Netzwerkveranstaltung bringt die Stadtverwaltung Münchens sowie weiterer Kommunen mit der lebendigen Gründungsszene des Münchner Innovationsökosystems zusammen.
In Zusammenarbeit mit dem KI Competence Center des IT-Referats widmet sich die dritte Ausgabe des City Demo Day dem Fokusthema Künstliche Intelligenz.
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/3-city-demo-day-kuenstliche-intelligenz/
